Text,Label,pred_LR_best
doctors encouraged hospitals ama overcount covid 19 deaths,1,1
total 338 new covid 19 positive cases detected state today taking tally 5 845 total number patients 3 337 recovered 2 928 discharged state 2 365 active cases said,0,0
duration isolation precautions adults covid 19,0,0
sadly today three people hospital covid 19 one isolation ward auckland city hospital two icu north shore waikato hospitals wish full speedy recovery,0,0
schools day camps,0,0
07 02 2020 china controlled outbreak medicine malaria much ended february story globo hiding trump got right medicine enduuu brataaaa,1,1
french news network bfm aired incoherent data people died coronavirus africa,1,1
half americans know someone impacted covid,0,0
army patrolling streets towns villages ireland,1,1
rt drtedros covax groundbreaking way pool r amp amp procurement risks across multiple vaccines enables countries place collect,0,0
media claim paris impossed alarm state half coronavirus incidence madrid,1,1
colombia started covid vaccination,1,1
data analyses atlanta covid19 patients found people older black underlying conditions diabetes higher risk hospitalization take preventive measures protect higher risk groups cdcmmwr,0,0
medical university vienna published study ibuprofen coronavirus,1,1
noting outbreak covid 19 pandemic impacted 2 million seafarers worldwide government extended validity continuous discharge certificate cdc seamen six months covid19 seafarers,0,0
lizm kia ora liz cafe decide imagine allowed use,0,0
united states recruiting doctors confront covid 19,1,1
58 coronavirus deaths scotland care facilities,1,0
calendrier du 27 avril au 3 mai 2020,0,1
lou dobbs says united states screening fewer people coronavirus countries,0,1
daily update published tracked 24 9 million tests 489k yesterday 7 day average approaches minimum daily tests recommended harvardgh details see,0,0
gov andrew cuomo simply saying share 20 percent excess non used ventilators help people parts state voluntary basis would great course reaction positive,1,1
camocim military police sensitize suffering circus artists prevented working donate several basic baskets moved feeling compassion willingness help others military police camocim company well reside work cities sensitized situation families circus artists circus installed trills lago neighborhood donated several basic food baskets keep return activities circus circus artists prevented holding show due decree governor camilo santana prohibits events crowd many people god willing law decree longer enforces work thus able keep food little children said one artists donations collected military police delivered norte brazil circus early afternoon yesterday wednesday 25 military police thank kite surf class mrs angelica chicken mercadinho also collaborating food collection campaign lieutenant colonel eduardo points wish continue helping families call 190 leave donations directly military police barracks hands help sacred lips pray mother tereza de calcutta,0,1
text lithuanian excerpted letter claims measures genocide pandemic real,1,1
